ds,yhat1,recalculated_yhat1
1994-01-01,113.0162124633789,15.248119580976608
1994-02-01,113.37447357177734,15.296456081581269
1994-03-01,114.03388214111328,15.385423323526428
1994-04-01,113.333984375,15.290993289113342
1994-05-01,113.16458129882812,15.268137467753279
1994-06-01,113.17578887939453,15.269649591765976
1994-07-01,113.55813598632812,15.321235769367291
1994-08-01,113.10106658935547,15.259568078777303
1994-09-01,114.23763275146484,15.412913305747736
1994-10-01,113.35226440429688,15.293459626168769
1994-11-01,114.18270111083984,15.405501942309055
1994-12-01,113.08975219726562,15.258041543780141
1995-01-01,113.5054931640625,15.314133212738554
1995-02-01,112.78250885009766,15.216588346969154
1995-03-01,113.6524887084961,15.33396581542926
1995-04-01,113.2091293334961,15.274147877630842
1995-05-01,113.12052917480469,15.262193966017868
1995-06-01,114.15631103515625,15.401941399790388
1995-07-01,114.38300323486328,15.432526655603375
1995-08-01,114.92853546142578,15.506129729397738
1995-09-01,115.15009307861328,15.536022228600416
1995-10-01,115.16815185546875,15.538458714330885
1995-11-01,115.68902587890625,15.608734909426106
1995-12-01,114.60133361816406,15.461983737204031
1996-01-01,115.73748779296875,15.615273378948674
1996-02-01,116.05661010742188,15.658329283103274
1996-03-01,116.3978271484375,15.70436620232988
1996-04-01,116.77393341064453,15.755110366696076
1996-05-01,116.53722381591797,15.723173566411564
1996-06-01,117.31758117675781,15.828459189550252
1996-07-01,117.37528991699219,15.836245238584997
1996-08-01,118.80622100830078,16.02930610938246
1996-09-01,118.4345474243164,15.979160000871524
1996-10-01,119.49275970458984,16.121933741381504
1996-11-01,118.76750183105469,16.024082127514223
1996-12-01,118.62686920166016,16.00510800775517
1997-01-01,119.15829467773438,16.076807802244236
1997-02-01,119.16926574707031,16.078288016219908
1997-03-01,119.878173828125,16.173933720108145
1997-04-01,121.00908660888672,16.326516194258012
1997-05-01,120.71873474121094,16.28734199170442
1997-06-01,120.95649719238281,16.31942084312151
1997-07-01,121.84483337402344,16.43927494219737
1997-08-01,121.56510925292969,16.401534632597958
1997-09-01,121.64131927490234,16.41181687001309
1997-10-01,122.2764892578125,16.497513847840935
1997-11-01,122.2760009765625,16.49744796905481
1997-12-01,121.58642578125,16.404410653354578
1998-01-01,123.33847045898438,16.64079609023129
1998-02-01,122.824462890625,16.571446315565904
1998-03-01,123.66985321044922,16.685506169531163
1998-04-01,123.55374145507812,16.669840400062654
1998-05-01,123.2952880859375,16.63496993508366
1998-06-01,123.30073547363281,16.635704895291333
1998-07-01,124.0925064086914,16.742530435055613
1998-08-01,123.8470687866211,16.709416051469177
1998-09-01,124.96383666992188,16.86009009953358
1998-10-01,124.88850402832031,16.849926238062256
1998-11-01,124.66569519042969,16.819864924470142
1998-12-01,124.13055419921875,16.74766383359293
1999-01-01,124.48322296142578,16.795245816225293
1999-02-01,123.75448608398438,16.6969248160069
1999-03-01,124.72126770019531,16.827362753815606
1999-04-01,125.37458801269531,16.915508569646313
1999-05-01,124.66179656982422,16.819338923537202
1999-06-01,125.38961029052734,16.917535371675587
1999-07-01,126.14746856689453,17.019785423872516
1999-08-01,125.3515853881836,16.912405061206368
1999-09-01,125.86876678466797,16.982183047981543
1999-10-01,125.5188980102539,16.934978839013347
1999-11-01,125.74584197998047,16.965598063575428
1999-12-01,124.78870391845703,16.83646123179262
2000-01-01,125.84832763671875,16.979425403168737
2000-02-01,125.8594741821289,16.98092929233317
2000-03-01,126.05389404296875,17.00716037212593
2000-04-01,126.35346984863281,17.0475790661236
2000-05-01,125.53143310546875,16.936670070975815
2000-06-01,127.12031555175781,17.151041699727582
2000-07-01,126.42351531982422,17.05702958386395
2000-08-01,127.54647827148438,17.20853946902728
2000-09-01,126.82356262207031,17.111003867462173
2000-10-01,127.42276763916016,17.19184846094975
2000-11-01,126.99312591552734,17.133881305298935
2000-12-01,126.48458099365234,17.065268549553288
2001-01-01,126.6986312866211,17.094148162419344
2001-02-01,127.45478057861328,17.196167638864846
2001-03-01,127.9429931640625,17.26203716078215
2001-04-01,127.66914367675781,17.225089455328263
2001-05-01,127.59642028808594,17.21527763362028
2001-06-01,127.41959381103516,17.19142024883996
2001-07-01,127.78762817382812,17.241075354523083
2001-08-01,127.74018096923828,17.234673789352925
2001-09-01,127.676513671875,17.226083813256288
2001-10-01,127.6650619506836,17.22453874985053
2001-11-01,128.4097442626953,17.32501110417821
2001-12-01,126.90437316894531,17.1219068065653
2002-01-01,128.28509521484375,17.3081934853086
2002-02-01,127.35649871826172,17.182907474445805
2002-03-01,128.0554962158203,17.277216044846984
2002-04-01,127.76309967041016,17.23776597487651
2002-05-01,127.74905395507812,17.235870930419477
2002-06-01,127.79561614990234,17.242153090289793
2002-07-01,128.11590576171875,17.285366485917468
