Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,0.891400,0.900130,0.887830,0.898380,0.898380,0
2019-06-01,0.892860,0.895880,0.876120,0.877890,0.877890,0
2019-07-01,0.880000,0.900590,0.879700,0.896220,0.896220,0
2019-08-01,0.903160,0.910150,0.883940,0.908100,0.908100,0
2019-09-01,0.908100,0.918470,0.896200,0.913850,0.913850,0
2019-10-01,0.917500,0.918990,0.894400,0.896500,0.896500,0
2019-11-01,0.896370,0.910510,0.893300,0.907441,0.907441,0
2019-12-01,0.907515,0.908780,0.889600,0.892674,0.892674,0
2020-01-01,0.891200,0.909650,0.890600,0.906690,0.906690,0
2020-02-01,0.901218,0.927680,0.901218,0.906618,0.906618,0
2020-03-01,0.906775,0.938570,0.869880,0.906580,0.906580,0
2020-04-01,0.906770,0.932170,0.906000,0.919350,0.919350,0
2020-05-01,0.913680,0.928720,0.897290,0.900090,0.900090,0
2020-06-01,0.899720,0.900780,0.877180,0.889110,0.889110,0
2020-07-01,0.890180,0.893720,0.839772,0.842300,0.842300,0
2020-08-01,0.848896,0.854600,0.835760,0.839050,0.839050,0
2020-09-01,0.837580,0.861070,0.832550,0.851640,0.851640,0
2020-10-01,0.852970,0.858880,0.841600,0.856400,0.856400,0
2020-11-01,0.856238,0.861500,0.833190,0.835320,0.835320,0
2020-12-01,0.837680,0.837802,0.812380,0.813015,0.813015,0
2021-01-01,0.821500,0.829500,0.809700,0.823791,0.823791,0
2021-02-01,0.824890,0.836570,0.816890,0.828253,0.828253,0
2021-03-01,0.827068,0.854370,0.825730,0.852980,0.852980,0
2021-04-01,0.852590,0.853620,0.822900,0.824600,0.824600,0
2021-05-01,0.831878,0.834220,0.815195,0.820340,0.820340,0
2021-06-01,0.817390,0.844180,0.816050,0.840200,0.840200,0
2021-07-01,0.843500,0.850800,0.839560,0.842616,0.842616,0
2021-08-01,0.842630,0.857270,0.840195,0.847680,0.847680,0
2021-09-01,0.846600,0.864300,0.839800,0.861950,0.861950,0
2021-10-01,0.863990,0.867290,0.855200,0.864950,0.864950,0
2021-11-01,0.865100,0.893830,0.860800,0.885470,0.885470,0
2021-12-01,0.882610,0.890370,0.878800,0.883000,0.883000,0
2022-01-01,0.879100,0.899010,0.870800,0.896670,0.896670,0
2022-02-01,0.890540,0.900050,0.870000,0.894370,0.894370,0
2022-03-01,0.891690,0.925190,0.890300,0.895910,0.895910,0
2022-04-01,0.903150,0.954850,0.902900,0.948200,0.948200,0
2022-05-01,0.948200,0.966000,0.927200,0.928200,0.928200,0
2022-06-01,0.931610,0.963150,0.928500,0.957250,0.957250,0
2022-07-01,0.954410,1.004660,0.954390,0.977800,0.977800,0
2022-08-01,0.979600,1.009780,0.964400,0.997500,0.997500,0
2022-09-01,0.996110,1.048200,0.980700,1.017340,1.017340,0
2022-10-01,1.019900,1.037780,0.990600,1.004520,1.004520,0
2022-11-01,1.011500,1.027620,0.952680,0.968570,0.968570,0
2022-12-01,0.959200,0.961730,0.932100,0.932100,0.932100,0
2023-01-01,0.932100,0.953720,0.914700,0.921600,0.921600,0
2023-02-01,0.920730,0.949350,0.906900,0.942400,0.942400,0
2023-03-01,0.945420,0.950540,0.914997,0.917040,0.917040,0
